GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foundly,controller,AreaDropPointServlet,9,218,10,20,2,48,10,8,0,3
Foundly,controller,SegnalazioneImgServlet,0,73,3,9,0,23,3,5,0,2
Foundly,controller,AvatarServlet,4,94,5,9,1,32,5,5,0,3
Foundly,controller,RegistrazioneUtenteServlet,153,0,8,0,43,0,7,0,3,0
Foundly,controller,IndexServlet,25,0,2,0,7,0,3,0,2,0
Foundly,controller,RecuperoPasswordServlet,16,288,8,26,7,83,8,15,0,6
Foundly,controller,SegnalazioniReclamiServlet,0,54,0,4,0,13,0,4,0,2
Foundly,controller,LogoutServlet,0,22,0,2,0,8,0,4,0,3
Foundly,controller,ProfiloServlet,3,203,1,27,2,53,1,16,0,3
Foundly,controller,DropPointServlet,23,0,0,0,7,0,2,0,2,0
Foundly,controller,AreaAdminServlet,7,179,8,16,3,42,8,9,0,3
Foundly,controller,DettaglioSegnalazioneServlet,2,228,11,21,0,51,11,8,0,3
Foundly,controller,ClassificaServlet,0,23,0,0,0,6,0,2,0,2
Foundly,controller,CreaSegnalazioneServlet,45,366,15,27,14,104,15,9,0,3
Foundly,controller,GestioneReclamoServlet,106,293,25,31,20,73,19,11,0,2
Foundly,controller,ProfiloDropPointServlet,24,231,8,30,2,61,8,14,0,3
Foundly,controller,SearchServlet,50,0,0,0,12,0,2,0,2,0
Foundly,controller,DropPointAvatarServlet,0,70,2,10,0,23,2,6,0,2
Foundly,controller,RegistrazioneDropPointServlet,0,184,5,15,0,48,5,8,0,3
Foundly,controller,LoginServlet,0,99,0,4,0,29,0,5,0,3
Foundly,model.service,UtenteService,90,149,17,13,24,42,19,10,7,7
Foundly,model.service,EmailService.new Authenticator() {...},0,13,0,0,0,2,0,2,0,2
Foundly,model.service,SegnalazioneService,50,123,11,11,10,27,19,4,8,4
Foundly,model.service,DropPointService,96,189,18,14,14,50,25,5,9,5
Foundly,model.service,EmailService,66,209,8,4,21,56,8,10,2,10
Foundly,model,ConPool,15,8,0,0,4,4,2,1,2,1
Foundly,model.dao,ReclamoDAO,116,550,29,31,52,135,29,20,1,18
Foundly,model.dao,DropPointDAO,179,441,27,21,57,100,25,10,2,9
Foundly,model.dao,UtenteDAO,46,497,22,32,24,123,22,17,0,12
Foundly,model.dao,SegnalazioneDAO,35,702,18,42,18,175,18,24,0,12
Foundly,model.bean.enums,StatoSegnalazione,0,21,0,0,0,1,0,1,0,1
Foundly,model.bean.enums,StatoReclamo,0,21,0,0,0,1,0,1,0,1
Foundly,model.bean.enums,Badge,0,21,0,0,0,2,0,1,0,1
Foundly,model.bean.enums,Ruolo,0,15,0,0,0,1,0,1,0,1
Foundly,model.bean.enums,ModalitaConsegna,0,15,0,0,0,1,0,1,0,1
Foundly,model.bean.enums,TipoSegnalazione,0,15,0,0,0,1,0,1,0,1
Foundly,model.bean.enums,CategoriaOggetto,0,45,0,0,0,2,0,1,0,1
Foundly,model.bean.enums,StatoDropPoint,0,21,0,0,0,4,0,1,0,1
Foundly,model.bean,SegnalazioneOggetto,0,27,0,0,0,9,0,7,0,7
Foundly,model.bean,DropPoint,0,115,0,0,0,49,0,33,0,33
Foundly,model.bean,SegnalazioneAnimale,0,20,0,0,0,7,0,5,0,5
Foundly,model.bean,Segnalazione,0,122,0,0,0,42,0,35,0,35
Foundly,model.bean,Reclamo,0,108,0,0,0,46,0,31,0,31
Foundly,model.bean,Utente,0,87,0,0,0,26,0,25,0,25
Foundly,model.utils,GeocodingUtils,9,118,2,4,4,26,3,2,1,1
Foundly,model.utils,PasswordUtils,3,20,0,4,1,4,1,4,1,2
